#options: 1280x528 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:84 out:84 type:B dur:2 cpbdur:2 q:28.40 aq:22.65 tex:13097 mv:9765 misc:2426 imb:59 pmb:928 smb:1653 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:28.40 aq:26.31 tex:3027 mv:3603 misc:1322 imb:9 pmb:337 smb:2294 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:28.40 aq:25.20 tex:11080 mv:8535 misc:1737 imb:39 pmb:685 smb:1916 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:28.40 aq:21.37 tex:78348 mv:18244 misc:1952 imb:511 pmb:1544 smb:585 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:28.40 aq:23.54 tex:24503 mv:12512 misc:2057 imb:120 pmb:884 smb:1636 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:28.40 aq:26.56 tex:12874 mv:7455 misc:1343 imb:75 pmb:587 smb:1978 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:28.40 aq:25.45 tex:12345 mv:7547 misc:1580 imb:58 pmb:615 smb:1967 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:28.40 aq:20.92 tex:94699 mv:19026 misc:1811 imb:517 pmb:1546 smb:577 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:28.40 aq:24.50 tex:20755 mv:12283 misc:2082 imb:116 pmb:898 smb:1626 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:28.40 aq:26.84 tex:12611 mv:8526 misc:1559 imb:50 pmb:645 smb:1945 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:28.40 aq:25.31 tex:11032 mv:6926 misc:1626 imb:42 pmb:596 smb:2002 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:28.40 aq:20.16 tex:100619 mv:19668 misc:1713 imb:364 pmb:1785 smb:491 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:28.40 aq:23.93 tex:15941 mv:9460 misc:2391 imb:35 pmb:983 smb:1622 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:28.40 aq:26.16 tex:8624 mv:6520 misc:1632 imb:17 pmb:559 smb:2064 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:28.40 aq:23.97 tex:1752 mv:2231 misc:1145 imb:2 pmb:238 smb:2400 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:28.40 aq:20.45 tex:65598 mv:15383 misc:2043 imb:218 pmb:1678 smb:744 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:28.40 aq:22.76 tex:9285 mv:7152 misc:2051 imb:34 pmb:712 smb:1894 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:28.40 aq:26.14 tex:2201 mv:2789 misc:1042 imb:5 pmb:266 smb:2369 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:28.40 aq:25.72 tex:2219 mv:2440 misc:917 imb:9 pmb:219 smb:2412 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:28.40 aq:20.35 tex:68801 mv:15765 misc:2050 imb:242 pmb:1746 smb:652 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:28.40 aq:23.22 tex:10006 mv:6351 misc:2235 imb:42 pmb:718 smb:1880 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:28.40 aq:27.52 tex:3308 mv:2902 misc:974 imb:10 pmb:259 smb:2371 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:28.40 aq:26.35 tex:1307 mv:1440 misc:789 imb:2 pmb:152 smb:2486 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:28.40 aq:20.37 tex:57382 mv:14931 misc:2159 imb:213 pmb:1720 smb:707 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:28.40 aq:23.20 tex:6365 mv:4768 misc:2139 imb:24 pmb:650 smb:1966 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:28.40 aq:25.29 tex:874 mv:1724 misc:922 imb:1 pmb:198 smb:2441 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:28.40 aq:23.54 tex:709 mv:801 misc:610 imb:1 pmb:107 smb:2532 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:28.40 aq:20.40 tex:65015 mv:16583 misc:2106 imb:293 pmb:1683 smb:664 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:28.40 aq:23.41 tex:9485 mv:7591 misc:2180 imb:20 pmb:761 smb:1859 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:28.40 aq:26.80 tex:1510 mv:2743 misc:1139 imb:7 pmb:290 smb:2343 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:28.40 aq:25.59 tex:1831 mv:2511 misc:1010 imb:4 pmb:214 smb:2422 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:28.40 aq:20.48 tex:68561 mv:13835 misc:2412 imb:232 pmb:1418 smb:990 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:28.40 aq:23.44 tex:13149 mv:7739 misc:1976 imb:26 pmb:737 smb:1877 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:28.40 aq:28.65 tex:2983 mv:2947 misc:1126 imb:2 pmb:295 smb:2343 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:28.40 aq:24.96 tex:1874 mv:2517 misc:1001 imb:4 pmb:218 smb:2418 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:28.40 aq:20.61 tex:59788 mv:13835 misc:2137 imb:182 pmb:1629 smb:829 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:28.40 aq:23.18 tex:7769 mv:5865 misc:2254 imb:23 pmb:720 smb:1897 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:28.40 aq:25.14 tex:1617 mv:2473 misc:1334 imb:5 pmb:317 smb:2318 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:28.40 aq:24.67 tex:568 mv:1273 misc:751 imb:1 pmb:136 smb:2503 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:28.40 aq:21.33 tex:37769 mv:10826 misc:2389 imb:108 pmb:1431 smb:1101 d:- ref:0 ;
